Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_2220_5750Metric,104.27,-115.235,180.0,top
C2,22uF,C_2220_5750Metric,104.27,-122.855,180.0,top
C3,22uF,C_2220_5750Metric,104.27,-130.475,180.0,top
C4,22uF,C_2220_5750Metric,121.592,-124.856,-90.0,top
C5,22uF,C_2220_5750Metric,114.226,-124.856,-90.0,top
C6,22uF,C_2220_5750Metric,121.592,-132.984,-90.0,top
C7,22uF,C_2220_5750Metric,114.226,-132.984,-90.0,top
C8,22uF,C_2220_5750Metric,104.27,-141.905,180.0,top
D1,12V,D_SOD-123,105.54,-136.19,180.0,top
IC1,OPA1642AIDR,SOIC127P600X175-8N,113.668,-112.314,-90.0,top
R1,1G,R_0805_2012Metric,109.35,-107.076,180.0,top
R10,47,R_0805_2012Metric,112.702,-142.89,-90.0,top
R2,2.2K,R_0805_2012Metric,117.528,-110.632,90.0,top
R3,2.2K,R_0805_2012Metric,112.525,-118.41,-90.0,top
R4,47K,R_0805_2012Metric,109.35,-116.124,90.0,top
R5,47K,R_0805_2012Metric,105.53,-109.52,180.0,top
R6,200,R_0805_2012Metric,109.985,-135.555,-90.0,top
R7,2.2K,R_0805_2012Metric,110.162,-142.9935,90.0,top
R8,2.2K,R_0805_2012Metric,110.924,-139.842,180.0,top
R9,47,R_0805_2012Metric,122.1,-143.398,0.0,top
